brand,model,voltage,Ah,Wh,Ws,I_max,C-rate,C-rate recommended,Round-trip-eff,Price (€),€ / Wh
upower,UE-12Li50BL,12.8,50,640,2304000,50,1,0.5,,222.64,0.347875
upower,UE-FT-12Li100,12.8,100,1280,4608000,100,1,0.2,,461,0.36015625
tesla,powerwall,50,260,13000,46800000,100,0.384615384615385,,,7000,0.538461538461538
Pylontech,RT12100G31,12.8,100,1280,4608000,100,1,0.2,,689,0.53828125
Victron,"LFPSmart/12,8/50",12.8,50,640,2304000,100,2,0.5,0.92,779,1.2171875
Victron,"LFPSmart/12,8/180",12.8,180,2304,8294400,360,2,0.5,0.92,1084,0.470486111111111
Victron,LFPSmart/25.6/100,25.6,100,2560,9216000,200,2,0.5,0.92,2120,0.828125
Victron,LFPSmart/25.6/200,25.6,200,5120,18432000,400,2,0.5,0.92,2265,0.4423828125
Huawei,luna2000,,,5000,18000000,,,,,2679,0.5358
Pylontech,Force L1,,,7100,25560000,,,,,2900,0.408450704225352
BYD,Premium LVS/4kWh,51.2,65,4000,14400000,,,,,2600,0.65
Growatt,ARK SPH TL3,,,7600,27360000,,,,,4800,0.631578947368421
Pylontech,Force L2,,,14200,51120000,,,,,5670,0.399295774647887
LG,HBC,,,15800,56880000,,,,0.95,6992,0.44253164556962
LG,Resu 10H Prime,51.8,,9800,35280000,,,,,8600,0.877551020408163
SolarEdge,Energy bank,,,10000,36000000,,,,,9893,0.9893
BYD,B-Box Premium LVS,,,24000,86400000,,,,,16500,0.6875
BYD,B-Box HVM Premium,,,22100,79560000,,,,,11980,0.542081447963801
LG,Resu 16H Prime,,,16000,57600000,,,,,12360,0.7725
