brand,model,insulated,capacity[galons],capacity [m3],Price [$]
bradford white,AST-40-6,1,40,0.1514,1000
john wood,JWSB-50,1,50,0.18925,1150
john wood,JWSB-40,1,40,0.1514,1155
lochinvar,RBT030,1,30,0.11355,1170
lochinvar,RBT050,1,50,0.18925,1200
bradford white,AST-80-6,1,80,0.3028,1460
lochinvar,SBT030,1,30,0.11355,1470
Ao-smith,T-80S,0,80,0.3028,1500
lochinvar,RBT080,1,80,0.3028,1600
Ao-smith,TJV-120M,1,119,0.450415,1650
bradford white,AST-120-6,1,119,0.450415,2180
lochinvar,RJS120M,1,119,0.450415,2300
Ao-smith,T-120S,0,119,0.450415,2700
Ao-smith,TJV-200M,1,175,0.662375,4500
amtrol,2775-5002,1,120,0.4542,3890
Ao-smith,T-200A,0,200,0.757,4530
Ao-smith,T-140A,0,140,0.5299,4500
Ao-smith,TJV-140A,1,140,0.5299,5500
Ao-smith,T-250A,0,250,0.94625,6000
Ao-smith,T-350S,0,350,1.32475,6300
lochinvar,RJA200,1,200,0.757,6370
Ao-smith,T-400A,0,400,1.514,8300
Ao-smith,TJV-350A,1,350,1.32475,10000
Ao-smith,TJV-T500A,1,500,1.8925,10600
Ao-smith,TJV-1000A,1,1000,3.785,16400
Ao-smith,TJV-750A,1,750,2.83875,17500
Ao-smith,TH-1000A,0,1000,3.785,22400
